Track ID,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
1aSGE7H6pkelrCmdzMquEg,"Five Magics","Rust In Peace","Megadeth",1990-01-01,342826,45,z9xc6iyksrgs1p8ekhjqklyyn,2024-11-11T02:41:15Z,"thrash metal,metal,heavy metal,speed metal","Capitol Records",0.258,0.928,9,-10.858,0,0.317,0.0114,0.443,0.307,0.199,174.639,4
4RdpSi00jdvfRLZb3Q1WhB,"Transgender Dysphoria Blues","Transgender Dysphoria Blues","Against Me!",2014-01-21,196400,30,z9xc6iyksrgs1p8ekhjqklyyn,2024-11-11T02:41:15Z,"folk punk,punk,skate punk","Total Treble",0.492,0.937,4,-3.639,1,0.0945,0.000514,0.13,0.204,0.498,104.842,4
5TwX6zzWeK15M0mm6StdLA,"M3 N MIN3","M3 N MIN3","femtanyl,Danny Brown",2024-10-15,131200,55,z9xc6iyksrgs1p8ekhjqklyyn,2024-11-11T02:41:15Z,"breakcore,hyperpop,speedcore,experimental hip hop,alternative hip hop","SpikeChain Records",0.526,0.994,9,-3.224,1,0.233,0.0000733,0.668,0.743,0.352,150.087,4
1i5u28LuH3TddcRfOC7Y8U,"RE RESCUE","RE RESCUE","Reol",2024-10-06,233543,48,z9xc6iyksrgs1p8ekhjqklyyn,2024-11-11T02:41:15Z,"vocaloid,j-pop,j-rock","Sony Music Labels Inc.",0.534,0.97,2,-2.503,1,0.158,0.0155,0,0.38,0.495,94.99,4
71K5XMKY9Q3GWTIVQWrPRj,"Browser History","An Obsession With Kit","Graham Kartna",2013-02-01,139133,52,z9xc6iyksrgs1p8ekhjqklyyn,2024-11-11T02:41:15Z,"","853657 Records DK",0.64,0.756,3,-8.841,1,0.032,0.21,0.84,0.136,0.182,104.995,4
70WFvp0yF9m1asIb60gKcj,"I Fucked Yr Mom","Juno Goes to the Big House","Sorry Mom",2021-04-20,152363,50,z9xc6iyksrgs1p8ekhjqklyyn,2024-11-11T02:41:15Z,"","Brandy Melville Records",0.642,0.643,7,-7.7,1,0.0665,0.148,0.000229,0.226,0.219,164.847,4
5dptcPc81FCiyCPsNvl0qu,"GIRL HELL 1999","GIRL HELL 1999","femtanyl",2023-08-25,145371,58,z9xc6iyksrgs1p8ekhjqklyyn,2024-11-11T02:41:15Z,"breakcore,hyperpop,speedcore","SpikeChain Records",0.508,0.964,7,-4.819,1,0.274,0.0000471,0.0585,0.0915,0.34,174.972,4
5NO5HPCDG8Y0ErpAISWQOJ,"PUSH UR T3MPRR","PUSH UR T3MPRR","femtanyl",2023-07-18,148645,58,z9xc6iyksrgs1p8ekhjqklyyn,2024-11-11T02:41:15Z,"breakcore,hyperpop,speedcore","SpikeChain Records",0.631,0.915,1,0.016,1,0.271,0.0163,0.00048,0.0499,0.473,155.02,4
03p1bgcOw398mneQ9H8891,"as good a reason","Cacophony","Paris Paloma",2024-08-30,169721,60,z9xc6iyksrgs1p8ekhjqklyyn,2024-11-11T02:41:15Z,"","Nettwerk Music Group",0.658,0.766,10,-5.463,0,0.0438,0.0998,0,0.118,0.446,103.973,4
0XWlwlGax87NoRTq4pl1iY,"Dirty Dream","Dirty Dream","Anya Nami",2024-06-14,157333,39,z9xc6iyksrgs1p8ekhjqklyyn,2024-11-11T02:41:15Z,"","The System",0.694,0.606,1,-7.136,0,0.0366,0.75,0.00133,0.19,0.397,89.999,4
4dTM35eH5nmPRZcQ2ltlKr,"Mad IQs","RAZZMATAZZ","I DONT KNOW HOW BUT THEY FOUND ME",2020-10-23,182811,50,z9xc6iyksrgs1p8ekhjqklyyn,2024-11-11T02:41:15Z,"","Fearless Records",0.728,0.7,8,-5.066,0,0.0388,0.0094,0.00000162,0.591,0.936,104.989,4
095t81N10yU8WYZGM6DAC6,"Pink Sand","Chip Heat","EX-LYD",2020-07-26,312017,34,z9xc6iyksrgs1p8ekhjqklyyn,2024-11-11T02:41:15Z,"","Independent",0.523,0.915,4,-7.67,0,0.0484,0.00106,0.393,0.5,0.733,167.973,4
0nObOnIxnz6PlPf04tZh1g,"Honey","K.G.","King Gizzard & The Lizard Wizard",2020-11-20,273854,41,z9xc6iyksrgs1p8ekhjqklyyn,2024-11-11T02:41:15Z,"psychedelic rock,acid rock,psychedelic pop","KGLW (King Gizzard & the Lizard Wizard)",0.575,0.558,11,-10.254,1,0.0321,0.0518,0.276,0.118,0.826,155.894,1
1YNcvRZoNJUjR4opG7Qr9o,"Jump the Turnstile","Summer's Over","Jordana,TV Girl",2021-10-13,222750,60,z9xc6iyksrgs1p8ekhjqklyyn,2024-11-11T02:41:15Z,"","Summer's Over",0.74,0.802,0,-8.342,0,0.0478,0.181,0.819,0.398,0.964,160.014,4
5vRXG939KMWdIPdLRYo9kw,"New Invention","RAZZMATAZZ","I DONT KNOW HOW BUT THEY FOUND ME",2020-10-23,191593,54,z9xc6iyksrgs1p8ekhjqklyyn,2024-11-11T02:41:15Z,"","Fearless Records",0.489,0.854,0,-3.03,1,0.079,0.00842,0.00000406,0.091,0.763,180.138,4
37mfTcSlX60JtAvAETytGs,"Choke","Choke","I DONT KNOW HOW BUT THEY FOUND ME",2018-08-24,195717,65,z9xc6iyksrgs1p8ekhjqklyyn,2024-11-11T02:41:15Z,"","Fearless Records",0.516,0.85,4,-3.909,0,0.0706,0.00139,0,0.296,0.583,120.324,4
0TmyUXS2L6qBjNHSgzg13k,"yoshis island (world 7x7 mix)","alchemist rats beg bashful (remixes)","glass beach,Clover & Sealife",2021-03-05,244131,19,z9xc6iyksrgs1p8ekhjqklyyn,2024-11-11T02:41:15Z,"","Run For Cover Records",0.56,0.915,6,-5.294,0,0.0654,0.0145,0.0372,0.1,0.961,117.899,4
7FOgcfdz9Nx5V9lCNXdBYv,"Red Wine Supernova","The Rise and Fall of a Midwest Princess","Chappell Roan",2023-09-22,192720,82,z9xc6iyksrgs1p8ekhjqklyyn,2024-11-11T02:41:15Z,"","Chappell Roan PS/ Island",0.657,0.82,9,-4.448,1,0.0441,0.0176,0,0.0847,0.709,124.041,4
08FrL2S2aHgXbexMJge9js,"Where Does the DJ Go?","DISCO (Deluxe)","Kylie Minogue",2020-11-06,181680,35,z9xc6iyksrgs1p8ekhjqklyyn,2024-11-11T02:41:15Z,"dance pop","BMG Rights Management (UK) Ltd.",0.771,0.82,6,-4.398,0,0.0593,0.0234,0.00021,0.287,0.736,133.002,4
